Location,Beds,Price,Area,Type
 BEML Nagar,3,12800000,2200,House
Dattagalli,3,12000000,1600,House
 Bogadi,3,10000000,2200,House
 Ramakrishnanagar,2,4000000,600,House
 Sriramapura,3,11500000,1200,House
 Bogadi,3,8500000,1900,House
 J P Nagar,3,15000000,750,House
 Hebbal 1st Stage,2,3000000,600,House
 Sriramapura,3,12500000,2400,House
Vijayanagar,3,14500000,1600,House
Vijayanagar,3,14500000,1600,House
Vijayanagar,2,4300000,600,House
Sriramapura,4,11000000,1200,House
Rajendra Nagar,3,6500000,1220,House
 Sriramapura,2,7500000,1200,House
 Sriramapura,4,12000000,1200,House
Ilavala Hobli,2,3720000,1200,Apartment
Rahmania Mohalla,3,7200000,1000,Apartment
Somanatha Nagar,4,12991400,1602,Apartment
Vontikoppal,3,5040500,977,Apartment
Lakshmipuram,4,6800000,1085,Apartment
Lalith Mahal Quatras,3,16679000,1687,Apartment
Vani Vilas Mohalla,3,7350000,1148,Apartment
Karanji Layout,3,5440000,1100,Apartment
 Gaddige Road,3,6227100,950,Apartment
Kuvempunagar,3,4626000,1385,Apartment
Fort Mohalla,2,7250000,600,Apartment
Bannimantap,3,5887200,950,Apartment
Vidayaranya Puram,2,3738000,885,Apartment
Saraswathipuram,2,20000000,980,Apartment
Doora,5,-999999,1978,Villa
Rajendra Nagar,3,3980900,600,Apartment
Bettadpura,3,6460000,850,Apartment
Yadavagiri,3,8820000,747,Apartment
Jayalakshmipuram,3,5692800,1150,Apartment
Ankanahalli,5,8996580,1147,Villa
Rajarajeshwari Nagar,3,7500000,1000,Villa
Gokulam,3,13200000,2206,Apartment
Avverahalli,4,13780100,1939,Villa
Chamundi Vihar Layout,4,10660000,1200,Apartment
Chamrajpura,2,3500000,1250,Apartment
Jayalakshmipuram,3,6031000,1400,Apartment
Gokulam,5,11550000,1158,Apartment
Vontikoppal,4,15999500,2750,Apartment
Siddhartha Layout,3,9224000,1338,Apartment
Yadavagiri,3,7916000,1116,Apartment
Vani Vilas Mohalla,3,7350000,1463,Apartment
Jayalakshmipuram,2,7150000,1300,Apartment
Siddhartha Layout,3,6742500,860,Apartment
BEML Nagar,3,13500000,3000,Villa
Madagalli,3,7001280,1400,Villa
Madagalli,3,6999600,1200,Villa
Hinkal,3,5250000,1000,Apartment
Jayalakshmipuram,2,7150000,1000,Apartment
Vidayaranya Puram,3,3963600,1096,Apartment
Vidayaranya Puram,3,5950000,1000,Apartment
Vontikoppal,2,15000000,1215,Apartment
Vijayanagar,2,6279000,1221,Apartment
Vani Vilas Mohalla,3,6643500,1450,Apartment
Ilavala Hobli,3,5600000,930,Apartment
Gokulam,3,9900000,1200,Apartment
Gokulam,1,11550000,980,Apartment
Hinkal,3,5440000,1200,Apartment
Yadavagiri,3,5292800,967,Apartment
Jayalakshmipuram,2,7150000,1000,Apartment
Lakshmipuram,2,6000000,850,Apartment
Gokulam,3,11550000,1020,Apartment
Rajendra Nagar,2,4497900,1248,Apartment
Gokulam,2,5499900,1100,Apartment
Ilavala Hobli,3,4200000,1070,Apartment
Vijayanagar,3,5838750,918,Apartment
Vijayanagar,3,6900000,8933,Apartment
Vijayanagar,3,5075000,1000,Apartment
Yadavagiri,3,10530000,1265,Apartment
Vidayaranya Puram,3,4950000,1500,Apartment
Jayalakshmipuram,2,3840000,1200,Apartment
Yadavagiri,3,9675000,1350,Apartment
Vijayanagar,3,6610500,1257,Apartment
