location,beds1,beds2,price,area
"Premier Richwood, Jayalakshmipuram, Mysore",1 RK Apartment,720 sq.ft built up area ,[4500000],"{'value': 720, 'unit': 'sq.ft'}"
"Vidayaranya Puram, Mysore",2 BHK Apartment,855 sq.ft built up area ,[4600000],"{'value': 855, 'unit': 'sq.ft'}"
"Silicon ValleVally, Ilavala Hobli, Mysore",4 BHK Villa,3000 sq.ft built up area ,[9600000],"{'value': 3000, 'unit': 'sq.ft'}"
"shree shreesha hill view, Chamundi Hill, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[5000000],"{'value': 1200, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",3 BHK Villa,1568 sq.ft built up area ,[12000000],"{'value': 1568, 'unit': 'sq.ft'}"
"Bannimantap, Mysore",5 BHK Independent House,40000 sq.ft built up area ,[108000000],"{'value': 40000, 'unit': 'sq.ft'}"
"Rajiv Nagar, Mysore",4 BHK Independent House,1500 sq.ft built up area ,[8500000],"{'value': 1500, 'unit': 'sq.ft'}"
"CFTRI Campus, Yadavagiri, Mysore",2 BHK Apartment,1210 sq.ft built up area ,[6000000],"{'value': 1210, 'unit': 'sq.ft'}"
"Harohalli, Mysore",2 BHK Villa,800 sq.ft built up area ,[2690000],"{'value': 800, 'unit': 'sq.ft'}"
"KC Layout, Mysore",4 BHK Independent House,5600 sq.ft built up area ,[28000000],"{'value': 5600, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",3 BHK Independent House,2000 sq.ft built up area ,[10000000],"{'value': 2000, 'unit': 'sq.ft'}"
"Huyilalu, Mysore",Embee CNM Emerald City,"2, 3 BHK Villas","[4500000, 8900000]","{'value': 950, 'unit': 'sq.ft'}"
"Chamrajpura, Mysore",5 BHK Independent House,2000 sq.ft built up area ,[7500000],"{'value': 2000, 'unit': 'sq.ft'}"
"Rajarajeshwari Nagar, Mysore",2 BHK Independent House,1200 sq.ft built up area ,[8100000],"{'value': 1200, 'unit': 'sq.ft'}"
"Belvadi, Mysore",3 BHK Independent House,1500 sq.ft built up area ,[8500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Chamrajpura, Mysore",5 BHK Independent House,1500 sq.ft built up area ,[7500000],"{'value': 1500, 'unit': 'sq.ft'}"
"Madhuvana Layout, 2nd Stage, Sriramapura, Mysore",4 BHK Independent House,7500 sq.ft built up area ,[12000000],"{'value': 7500, 'unit': 'sq.ft'}"
"Lakshmipuram, Mysore",Shubham Sapphire,2 BHK Apartment,[6000000],"{'value': 1300, 'unit': 'sq.ft'}"
"BEML Nagar, Mysore",3 BHK Independent House,2400 sq.ft built up area ,[13500000],"{'value': 2400, 'unit': 'sq.ft'}"
"Dattagalli Third Stage, Mysore",3 BHK Independent House,2300 sq.ft built up area ,[11000000],"{'value': 2300, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,920 sq.ft built up area ,[6500001],"{'value': 920, 'unit': 'sq.ft'}"
"Hebbal Industrial Estate, Hebbal, Mysore",2 BHK Independent House,920 sq.ft built up area ,[6500000],"{'value': 920, 'unit': 'sq.ft'}"
"Rajendra Nagar, Mysore",3 BHK Independent House,600 sq.ft built up area ,[4500000],"{'value': 600, 'unit': 'sq.ft'}"
"ZED Wildgrass, Vijayanagar 1st Stage, Vijayanagar, Mysore",2 BHK Independent House,1800 sq.ft built up area ,[15500000],"{'value': 1800, 'unit': 'sq.ft'}"
